"Formes";"Texte1";"Texte2";"Texte3";"Texte4";"Texte5";"Texte6";"Texte7";"Texte8";"Texte9";"Texte10";"Texte11";"Texte12"
"ason";0;0;0;0;0;0;1;0;0;0;0;0
"assaillitz";0;1;0;0;0;0;0;0;0;0;0;0
"assais";0;0;0;0;0;1;0;0;0;0;0;0
"assatz";0;1;0;0;0;1;0;0;0;0;0;0
"atal";0;0;0;0;0;0;0;0;0;1;0;0
"aten";0;0;0;0;0;0;0;1;1;0;0;0
"atendes";0;0;0;0;0;1;0;0;0;0;0;0
"ators";0;0;0;0;1;0;0;0;0;0;0;0
"atort";0;0;0;0;0;0;0;0;0;1;0;0
"atrais";0;0;0;0;0;1;0;0;0;0;0;0
"au";0;0;0;0;0;0;0;0;0;0;1;0
"auars";0;0;0;0;0;1;0;0;0;0;0;0
"aucir";0;0;0;0;0;0;0;0;0;0;0;1
"auer";0;0;0;0;2;0;1;1;0;0;0;0
"aueres";0;0;0;0;0;1;0;0;0;0;0;0
"aug";1;0;1;0;0;0;0;0;0;0;0;0
"auiatz";0;0;0;1;0;0;0;0;0;0;0;0
"auinenta";0;0;0;0;0;0;0;0;0;0;1;0
"auol";0;0;1;0;0;0;0;0;0;0;0;1
"auols";0;0;1;0;0;0;0;0;0;0;0;0
"aur";0;0;0;0;0;0;0;1;0;0;0;0
"aura";0;0;0;0;1;0;0;0;0;0;0;0
"aurai";0;0;0;0;0;0;0;0;1;0;0;0
"aurial";0;0;0;0;0;0;0;0;0;0;0;1
"aus";0;1;0;0;0;0;0;0;1;0;0;0
"ausa";0;0;1;0;0;0;0;0;0;0;0;0
"ausera";0;0;0;0;0;0;0;0;0;0;0;1
"auset";0;0;0;0;0;0;0;0;0;0;1;0
"aussor";0;0;0;0;0;0;0;0;0;1;0;0
"auta";0;1;0;1;0;0;0;0;0;0;0;0
"autra";0;1;0;0;0;0;2;0;1;0;0;1
"autre";0;1;0;0;0;1;1;0;1;0;0;0
"autreia";0;0;0;0;0;0;0;0;0;1;0;0
"autres";0;0;0;0;0;1;0;0;0;0;0;0
"autrui";1;0;0;0;0;0;0;0;0;1;0;1
"auziretz";0;0;0;1;0;0;0;0;0;0;0;0
"baillia";0;0;0;0;0;0;0;0;0;0;1;0
"bais";0;0;0;0;1;1;0;0;0;0;0;0
"baisars";0;0;0;1;0;0;0;0;0;0;0;0
"balans";0;0;0;0;1;0;0;0;0;0;0;0
"barons";0;0;1;0;0;0;0;0;0;0;0;0
"bastitz";0;1;0;0;0;0;0;0;0;0;0;0
"bat";0;0;0;1;0;0;0;0;0;0;0;0
"bausia";0;0;0;0;0;0;0;0;0;0;0;1
"bauzia";0;0;1;0;0;0;0;0;0;0;0;0
"be";0;0;0;0;0;0;0;0;1;0;0;0
"beders";0;0;0;1;0;0;0;0;0;0;0;0
"bel";0;0;0;0;0;0;1;1;0;1;0;0
"bella";1;0;0;0;0;0;0;0;0;0;1;1
"bels";0;0;0;0;2;1;0;0;0;0;0;0
"ben";0;0;1;1;6;3;2;0;1;2;2;3
"beneders";0;0;0;1;0;0;0;0;0;0;0;0
"benestan";0;0;0;0;0;0;0;0;0;1;0;0
"benestans";0;0;0;0;1;0;0;0;0;0;0;0
"benestar";0;0;0;0;0;1;0;0;0;0;0;0
"bens";0;0;1;0;1;0;0;1;0;0;0;1
"bes";0;0;1;1;0;0;2;0;0;0;0;0
"beus";0;0;0;0;1;0;0;0;0;0;0;0
"beutatz";0;0;0;0;0;0;0;0;0;0;1;0
"biais";0;0;0;0;1;1;0;0;0;0;0;0
"blan";0;0;0;1;0;0;0;1;0;0;0;0
"blanc";0;0;1;0;0;0;0;0;0;0;0;0
"blasmar";0;0;1;0;0;0;0;0;0;0;0;0
"blastima";0;0;1;0;0;0;0;0;0;0;0;0
"blau";1;0;0;0;0;0;0;0;0;0;0;0
"bobans";0;0;0;0;1;0;0;0;0;0;0;0
"bocba";0;0;0;1;0;0;0;0;0;0;0;0
"bocha";0;0;1;0;0;0;0;0;0;0;0;0
"bom";0;0;0;0;0;0;0;0;1;0;0;0
"bon";0;0;1;0;0;1;1;0;0;1;0;0
"bona";0;0;0;0;1;0;0;0;0;0;0;0
"bons";0;0;0;0;1;0;0;0;0;1;0;0
"bontatz";0;0;0;0;0;0;1;0;0;0;0;0
"bos";0;0;1;0;2;0;0;0;0;0;0;0
"boton";0;0;0;0;0;0;0;0;0;1;0;0
"braier";1;0;0;0;0;0;0;0;0;0;0;0
"brau";1;0;0;0;0;0;0;0;0;0;0;0
"braus";0;0;0;0;0;0;0;1;0;0;0;0
"breus";0;0;0;0;1;0;0;0;0;0;0;0
"buoimais";0;0;0;0;0;0;0;0;0;0;0;1
"ca";0;0;0;0;1;0;0;0;1;0;0;0
"cab";1;0;0;0;1;1;0;0;0;0;0;1
"caber";0;0;0;0;1;0;0;0;0;0;0;1
"cabria";0;0;0;0;0;0;0;0;0;0;1;0
"cadamor";0;0;0;0;0;0;0;1;0;0;0;0
"cades";0;0;0;1;0;0;0;0;0;0;0;0
"cadoncs";0;1;0;0;1;0;0;0;0;0;0;0
"cadreich";0;0;0;0;0;0;0;0;0;1;0;1
"cadreitz";0;0;0;0;0;0;0;0;0;0;0;1
"cafinar";0;0;0;0;0;0;0;0;0;0;1;0
"caissi";0;1;0;0;0;1;0;0;0;0;1;0
"caissim";0;0;0;0;0;0;0;1;0;0;0;0
"caisso";0;0;0;0;0;0;0;0;0;0;1;0
"caissom";0;0;0;0;0;0;0;0;0;0;1;0
"cal";0;0;0;0;0;0;0;1;0;2;0;1
"cala";0;0;1;0;0;0;0;0;0;0;0;0
"cals";0;0;0;2;0;0;0;0;1;0;0;0
"cami";0;0;0;0;0;0;0;1;1;0;0;0
"camiairitz";0;1;0;0;0;0;0;0;0;0;0;0
"camian";0;0;0;0;0;0;0;0;0;0;1;0
"camiar";0;0;0;0;0;1;0;0;0;0;0;0
"camie";0;0;0;0;0;0;0;0;0;0;1;0
"camiei";0;0;0;0;0;0;0;0;0;0;1;0
"camiet";1;0;0;0;0;0;0;1;0;0;0;0
"camors";0;0;0;1;0;0;0;1;0;0;0;0
"canc";0;1;1;1;0;2;2;0;0;1;0;0
"cane";0;0;0;0;1;0;0;0;0;0;0;0
"cant";0;1;1;0;0;0;0;0;0;0;0;0
"cantre";0;1;0;0;0;0;0;0;0;0;0;0
"cap";0;0;0;1;0;0;0;0;0;1;0;0
"capauc";0;0;0;0;0;0;0;0;0;0;0;1
"capdella";0;0;0;0;0;0;0;0;1;0;1;0
"capdens";0;0;0;0;1;0;0;0;0;0;0;0
"captenemen";1;0;0;0;0;0;0;0;0;0;0;0
"car";3;2;2;0;4;2;1;1;2;3;8;4
"cara";0;0;0;0;0;0;0;0;0;0;1;0
"carazon";0;0;0;0;0;0;0;0;0;1;0;0
