"Formes";"Total";"peire d alvernge";"girautz de borneill";"marcabrus";"arnautz daniels";"en raimons de miraval";"helias cairels";"albertetz";"pons de capduoill";"folqetz de marseilla";"gaucelms faiditz";"guillems de cabestain";"bernartz de ventedorn";"peire vidals";"arnautz de maruoill";"peire rotgiers";"guillems ademars";"gui d uissel";"lo monges de montaudo";"lo monges gaubertz";"n uc brunetz";"n aimerics de belenoi";"daurde de pradas";"sordels";"bertrans de lamanon";"jaufres rudels";"lo vescoms de saint antoni";"guillems de saint ledier";"n aimerics de piguillan";"cadenetz";"peirol";"n ucs de sain circ";"perdigons";"raembautz de vacheira";"ricartz de berbesiu";"richartz de tarascon";"n azemars lo negres";"peire bermons lo tort";"n aimeris de sarlat";"hugo de pena";"la comtessa de dia";"na castelloza";"gauserans de saint ledier";"gaubertz amielz";"berengiers de palasol";"peire raimons";"bertolomeus gorgis";"bertrans de born";"peire de la mula";"guillems de bergedan";"lo dalfins d alvernge";"peire de bussinac";"folqetz de romans"
"agues";5;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ai";4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"aicelin";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aicels";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aimerics";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aimeris";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aissi";4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"aissis";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"aitals";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ajostar";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"al";11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
